"id","gender","name","surname","middle_name","birthday","number_phone","email_adress","date_registr","visit","colvo_visit","tag","photo","files"
1,1,Иосиф  ,Голубев,Тимофеевич,1982-05-06,"7(78)972-73-11",smcnab@batt.net,2018-08-18,1,435,,Клиенты\m18.jpg,
2,2,Алла,Ермакова,Мироновна,1976-01-22,"7(06)437-13-73",whimsy@aol.com,2017-02-09,,455,,Клиенты\48.jpg,
3,1,Глеб,Селиверстов,Максимович,1999-06-20,"7(20)554-28-68",jigsaw@sbcglobal.net,2016-01-07,,3456,,Клиенты\m37.jpg,
4,1,Юстиниан,Агафонов,Олегович,1997-02-02,"7(303)810-28-78",staffelb@sbcglobal.net,2016-06-08,,1234,,Клиенты\m1.jpg,
5,2,Злата,Колобова,Романовна,1994-08-25,"7(50)884-07-35",sinkou@aol.com,2016-12-03,,24535,,Клиенты\18.jpg,
6,2,Дарина,Сысоева,Ярославовна,1982-02-03,"7(0698)387-96-04",treit@verizon.net,2016-05-13,,,,Клиенты\32.jpg,
7,1,Варлам,Некрасов,Михайлович,2000-11-12,"7(019)258-06-35",dogdude@verizon.net,2017-12-03,,,,Клиенты\m42.jpg,
8,1,Наум,Крюков,Ильяович,1993-11-17,"7(81)657-88-92",floxy@hotmail.com,2017-02-01,,,,Клиенты\m30.jpg,
9,2,Татьяна,Сидорова,Михайловна,1974-04-24,"7(51)732-91-79",tbeck@mac.com,2018-10-03,,,,Клиенты\42.jpg,
10,2,Альжбета,Трофимова,Якововна,1988-10-22,"7(1084)658-92-95",gbacon@mac.com,2017-09-21,,,,Клиенты\25.jpg,
11,1,Адриан,Новиков,Аркадьевич,1974-01-15,"7(70)572-33-62",multiplx@verizon.net,2018-11-23,,,,Клиенты\m40.jpg,
12,2,Иветта,Мишина,Андреевна,2002-10-05,"7(3926)244-81-96",aukjan@yahoo.com,2016-01-24,,,,Клиенты\30.jpg,
13,1,Геннадий,Шестаков,Рубенович,2001-07-01,"7(2066)037-11-60",tokuhirom@live.com,2018-12-08,,,,Клиенты\m41.jpg,
14,1,Матвей,Зуев,Иванович,1981-03-28,"7(5383)893-04-66",brickbat@verizon.net,2018-12-18,,,,Клиенты\m38.jpg,
15,2,Георгина,Турова,Семёновна,1974-05-28,"7(555)321-42-99",yruan@optonline.net,2018-02-22,,,,Клиенты\27.jpg,
16,1,Валентин,Анисимов,Пантелеймонович,2000-12-10,"7(700)326-70-24",aaribaud@hotmail.com,2018-01-20,,,,Клиенты\m99.jpg,
17,2,Тамара,Анисимова,Витальевна,1988-06-16,"7(66)128-04-10",schwaang@mac.com,2016-02-25,,,,Клиенты\2.jpg,
18,1,Орест,Колобов,Юлианович,2001-07-14,"7(1680)508-58-26",parkes@verizon.net,2017-01-01,,,,Клиенты\m27.jpg,
19,1,Аристарх,Филатов,Дмитриевич,1989-05-29,"7(696)235-29-24",hampton@att.net,2017-01-11,,,,Клиенты\m43.jpg,
20,2,Влада,Орлова,Мартыновна,1990-06-26,"7(2506)433-38-35",rnelson@yahoo.ca,2016-03-21,,,,Клиенты\22.jpg,
21,2,Элина,Алексеева,Матвеевна,2002-05-07,"7(8086)245-64-81",pthomsen@verizon.net,2018-03-28,,,,Клиенты\1.jpg,
22,1,Агафон,Бобров,Лаврентьевич,1995-07-29,"7(2159)507-39-57",petersen@comcast.net,2017-05-09,,,,Клиенты\m35.jpg,
